"Params","coefs","2.5 %","97.5 %"
"ar.1","0.767","0.552","1.064"
"ar.log(pop)","0.99","0.949","1.032"
"ar.HDI_cat","0.995","0.914","1.083"
"ar.LL","0.783","0.685","0.895"
"ar.sindex_lag","1.053","1.018","1.089"
"ar.testing_lag","0.925","0.863","0.991"
"ar.rain_mean_lag","1.019","0.963","1.078"
"ar.temp_mean_lag","1.059","0.995","1.127"
"ar.sh_mean_lag","0.982","0.918","1.051"
"ne.1","0.025","0.014","0.046"
"ne.log(pop)","1.656","1.5","1.828"
"ne.HDI_cat","1.71","1.45","2.017"
"ne.LL","1.35","1.082","1.685"
"ne.sindex_lag","1.101","1.044","1.161"
"ne.testing_lag","2.899","2.482","3.385"
"end.1","27.949","19.407","40.252"
"neweights.d","0.737","0.453","1.022"
"overdisp","1.947","1.867","2.027"
"","","",""
"AIC","48437.99","",""
"","","",""
"logs","rps","dss","ses"
"4.745","90.992","10.011","138863.297"
