"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.036","0.956","1.123"
"ar.HDI_cat","0.957","0.819","1.118"
"ar.LL","0.674","0.531","0.857"
"ar.sindex_lag","1.065","1.016","1.117"
"ar.testing_lag","0.817","0.728","0.918"
"ar.rain_mean_lag","1.045","0.981","1.112"
"ar.temp_mean_lag","1.106","1.014","1.206"
"ar.sh_mean_lag","0.856","0.78","0.94"
"ar.ri(iid)","0.958","0.55","1.669"
"ne.log(pop)","1.428","0.923","2.21"
"ne.HDI_cat","1.239","0.584","2.628"
"ne.LL","0.844","0.306","2.323"
"ne.sindex_lag","1.049","0.943","1.168"
"ne.testing_lag","2.322","1.676","3.218"
"ne.ri(iid)","0.045","0.004","0.481"
"end.1","11.071","7.15","17.142"
"neweights.d","2.186","1.532","2.839"
"overdisp","1.703","1.631","1.775"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"4.713","90.923","10.453","258069.986"
