"Params","coefs","2.5 %","97.5 %"
"ar.1","0.873","0.635","1.2"
"ar.log(pop)","1.11","1.05","1.173"
"ar.HDI_cat","0.893","0.813","0.981"
"ar.LL","1.013","0.873","1.176"
"ar.sindex_lag","1.131","1.086","1.179"
"ar.testing_lag","0.998","0.913","1.092"
"ne.1","0.101","0.062","0.166"
"ne.HDI_cat","2.047","1.574","2.664"
"ne.LL","0.842","0.647","1.097"
"ne.sindex_lag","0.732","0.676","0.792"
"ne.testing_lag","0.768","0.663","0.888"
"end.1","0","0","Inf"
"neweights.d","1.034","0.643","1.425"
"overdisp","2.823","2.699","2.948"
"","","",""
"AIC","45336.03","",""
"","","",""
"logs","rps","dss","ses"
"5.152","122.974","42.588","169563.374"
