"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.113","0.635","1.2"
"ar.HDI_cat","0.936","1.05","1.173"
"ar.LL","0.956","0.813","0.981"
"ar.sindex_lag","1.125","0.873","1.176"
"ar.testing_lag","0.99","1.086","1.179"
"ar.ri(iid)","0.849","0.913","1.092"
"ne.1","0.093","0.062","0.166"
"ne.HDI_cat","1.918","1.574","2.664"
"ne.LL","0.862","0.647","1.097"
"ne.sindex_lag","0.747","0.676","0.792"
"ne.testing_lag","0.776","0.663","0.888"
"end.1","0","0","Inf"
"neweights.d","1.065","-0.442","0.354"
"overdisp","2.776","0.993","1.081"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"5.152","122.974","42.588","169563.374"
